Column1,total_input traffic,total_traffic access,total_traffic metro,total_active antennas,total_loss
0,13.08476655,124.9195083,124.9195083,64,0
0,13.1484855,125.4904301,125.4904301,64,0
0,13.09334541,124.9963748,124.9963748,64,0
0,13.13988182,125.4133411,125.4133411,64,0
0,13.12788533,125.3058526,125.3058526,64,0
0,13.09214407,124.9856109,124.9856109,64,0
0,13.16824943,125.6675149,125.6675149,64,0
0,13.12008994,125.2360059,125.2360059,64,0
0,12.96351264,123.8330732,123.8330732,64,0
0,13.09598526,125.0200279,125.0200279,64,0
0,13.03117659,124.4393422,124.4393422,64,0
0,13.03786313,124.4992536,124.4992536,64,0
0,13.07834857,124.8620032,124.8620032,64,0
0,13.01821438,124.3232008,124.3232008,64,0
0,12.99135005,124.0824965,124.0824965,64,0
0,12.94589223,123.6751944,123.6751944,64,0
0,13.15107866,125.5136648,125.5136648,64,0
0,12.97839595,123.9664277,123.9664277,64,0
0,13.08517433,124.923162,124.923162,64,0
0,12.93241072,123.5544,123.5544,64,0
0,12.94952355,123.707731,123.707731,64,0
0,13.02491413,124.3832306,124.3832306,64,0
0,12.96086253,123.8093282,123.8093282,64,0
0,12.91951307,123.4388371,123.4388371,64,0
0,12.88030804,123.08756,123.08756,64,0
0,12.98214863,124.0000517,124.0000517,64,0
0,12.98963298,124.0671115,124.0671115,64,0
0,12.94188905,123.6393259,123.6393259,64,0
0,12.91730945,123.4190927,123.4190927,64,0
0,12.94639056,123.6796595,123.6796595,64,0
0,12.81772001,122.5267713,122.5267713,64,0
0,12.90361137,123.2963579,123.2963579,64,0
0,12.8206213,122.5527669,122.5527669,64,0
0,12.78681606,122.2498719,122.2498719,64,0
0,12.73592653,121.7939017,121.7939017,64,0
0,12.77540844,122.1476596,122.1476596,64,0
0,12.72853943,121.7277133,121.7277133,64,0
0,12.72191184,121.6683301,121.6683301,64,0
0,12.66430616,121.1521831,121.1521831,64,0
0,12.56471504,120.2598468,120.2598468,64,0
0,12.51495395,119.8139874,119.8139874,64,0
0,12.47481929,119.4543808,119.4543808,64,0
0,12.42295667,118.9896918,118.9896918,64,0
0,12.45728037,119.2972321,119.2972321,64,0
0,12.31997569,118.0669822,118.0669822,64,0
0,12.26617849,117.5849593,117.5849593,64,0
0,12.25317334,117.4684331,117.4684331,64,0
0,12.26415886,117.5668634,117.5668634,64,0
0,12.13702111,116.4277092,116.4277092,64,0
0,12.21593634,117.1347896,117.1347896,64,0
0,12.07532517,115.8749135,115.8749135,64,0
0,11.90073575,114.3105924,114.3105924,64,0
0,11.96023264,114.8436844,114.8436844,64,0
0,11.79970097,113.4053207,113.4053207,64,0
0,11.85134467,113.8680482,113.8680482,64,0
0,11.6922333,112.4424104,112.4424104,64,0
0,11.65958502,112.1498818,112.1498818,64,0
0,11.49259209,110.6536252,110.6536252,64,0
0,11.41818216,109.9869122,109.9869122,64,0
0,11.34396011,109.3218826,109.3218826,64,0
0,11.25624611,108.5359651,108.5359651,64,0
0,11.2407084,108.3967472,108.3967472,64,0
0,11.13723397,107.4696164,107.4696164,64,0
0,11.08626035,107.0128928,107.0128928,64,0
0,10.99827266,106.224523,106.224523,64,0
0,10.88570005,105.2158725,105.2158725,64,0
0,10.79191087,104.3755214,104.3755214,64,0
0,10.67078512,103.2902346,103.2902346,64,0
0,10.58763984,102.545253,102.545253,64,0
0,10.56933176,102.3812125,102.3812125,64,0
0,10.42325296,101.0723465,101.0723465,64,0
0,10.28448765,99.82900933,99.82900933,64,0
0,10.24884019,99.50960811,99.50960811,64,0
0,10.22234403,99.27220247,99.27220247,64,0
0,10.0335741,97.58082393,97.58082393,64,0
0,10.0252176,97.50594974,97.50594974,64,0
0,9.897865129,96.36487156,96.36487156,64,0
0,9.836894588,95.81857551,95.81857551,64,0
0,9.692443511,94.52429386,94.52429386,64,0
0,9.586600282,93.57593853,93.57593853,64,0
0,9.584031947,93.55292624,93.55292624,64,0
0,9.409057011,91.98515082,91.98515082,64,0
0,9.377858841,91.70561522,91.70561522,64,0
0,9.273399735,90.76966163,90.76966163,64,0
0,9.209858108,90.20032865,90.20032865,64,0
0,9.136407676,89.54221278,89.54221278,64,0
0,9.073407094,88.97772756,88.97772756,64,0
0,8.969721712,88.04870654,88.04870654,64,0
0,8.904502872,87.46434573,87.46434573,64,0
0,8.833595838,86.82901871,86.82901871,64,0
0,8.774160613,86.29647909,86.29647909,64,0
0,8.67424842,85.40126585,85.40126585,64,0
0,8.658300245,85.2583702,85.2583702,64,0
0,8.506212867,83.89566728,83.89566728,64,0
0,8.477988692,83.64277868,83.64277868,64,0
0,8.447968584,83.37379851,83.37379851,64,0
0,8.368423234,82.66107218,82.66107218,64,0
0,8.304370016,82.08715534,82.08715534,64,0
0,8.198520123,81.1387403,81.1387403,64,0
0,8.212786058,81.26656308,81.26656308,64,0
0,8.030060619,79.62934315,79.62934315,64,0
0,8.033418343,79.65942835,79.65942835,64,0
0,8.002736072,79.38451521,79.38451521,64,0
0,7.943680603,78.8553782,78.8553782,64,0
0,7.96385577,79.0361477,79.0361477,64,0
0,7.910924911,78.56188721,78.56188721,64,0
0,7.862162779,78.1249785,78.1249785,64,0
0,7.890372696,78.37773936,78.37773936,64,0
0,7.872203253,78.21494114,78.21494114,64,0
0,7.861707989,78.12090358,78.12090358,64,0
