time,val
1,1
1440,1
2880,1
4320,1
5760,1
7200,1
7250,0.8
7300,0.6
7350,0.4
7400,0.2
7450,0
9830,0
9880,0.2
9930,0.4
9980,0.6
10030,0.8
10080,1
