total_UL_input traffic;total_DL_input traffic;total_UL_traffic access;total_DL_traffic access;total_UL_traffic metro;total_DL_traffic metro;total_UL_loss;total_DL_loss;general_active antennas;total_UL_traffic eMBB;total_DL_traffic eMBB;total_UL_traffic URLLC;total_DL_traffic URLLC;total_UL_traffic mIoT;total_DL_traffic mIoT
5.427877296748204;5.427877296748204;42.06970322841832;42.06970322841832;42.06970322841832;42.06970322841832;0;0;17;42.06970322841832;42.06970322841832;42.06970322841832;42.06970322841832;42.06970322841832;42.06970322841832
5.0813030779856065;5.0813030779856065;39.48152156214015;39.48152156214015;39.48152156214015;39.48152156214015;0;0;17;39.48152156214015;39.48152156214015;39.48152156214015;39.48152156214015;39.48152156214015;39.48152156214015
4.746761748731474;4.746761748731474;36.9832139812825;36.9832139812825;36.9832139812825;36.9832139812825;0;0;17;36.9832139812825;36.9832139812825;36.9832139812825;36.9832139812825;36.9832139812825;36.9832139812825
4.424105775274301;4.424105775274301;34.573678447179475;34.573678447179475;34.573678447179475;34.573678447179475;0;0;17;34.573678447179475;34.573678447179475;34.573678447179475;34.573678447179475;34.573678447179475;34.573678447179475
4.113187623902577;4.113187623902577;32.25181292116519;32.25181292116519;32.25181292116519;32.25181292116519;0;0;17;32.25181292116519;32.25181292116519;32.25181292116519;32.25181292116519;32.25181292116519;32.25181292116519
3.8138597609047915;3.8138597609047915;30.016515364573777;30.016515364573777;30.016515364573777;30.016515364573777;0;0;17;30.016515364573777;30.016515364573777;30.016515364573777;30.016515364573777;30.016515364573777;30.016515364573777
3.525974652569438;3.525974652569438;27.86668373873937;27.86668373873937;27.86668373873937;27.86668373873937;0;0;17;27.86668373873937;27.86668373873937;27.86668373873937;27.86668373873937;27.86668373873937;27.86668373873937
3.249384765185005;3.249384765185005;25.801216004996064;25.801216004996064;25.801216004996064;25.801216004996064;0;0;17;25.801216004996064;25.801216004996064;25.801216004996064;25.801216004996064;25.801216004996064;25.801216004996064
2.98394256503999;2.98394256503999;23.819010124678027;23.819010124678027;23.819010124678027;23.819010124678027;0;0;17;23.819010124678027;23.819010124678027;23.819010124678027;23.819010124678027;23.819010124678027;23.819010124678027
2.7295005184228818;2.7295005184228818;21.91896405911936;21.91896405911936;21.91896405911936;21.91896405911936;0;0;17;21.91896405911936;21.91896405911936;21.91896405911936;21.91896405911936;21.91896405911936;21.91896405911936
2.4859110916221714;2.4859110916221714;20.099975769654197;20.099975769654197;20.099975769654197;20.099975769654197;0;0;17;20.099975769654197;20.099975769654197;20.099975769654197;20.099975769654197;20.099975769654197;20.099975769654197
2.2530267509263497;2.2530267509263497;18.360943217616658;18.360943217616658;18.360943217616658;18.360943217616658;0;0;17;18.360943217616658;18.360943217616658;18.360943217616658;18.360943217616658;18.360943217616658;18.360943217616658
2.030699962623908;2.030699962623908;16.700764364340852;16.700764364340852;16.700764364340852;16.700764364340852;0;0;17;16.700764364340852;16.700764364340852;16.700764364340852;16.700764364340852;16.700764364340852;16.700764364340852
1.818783193003341;1.818783193003341;15.118337171160944;15.118337171160944;15.118337171160944;15.118337171160944;0;0;17;15.118337171160944;15.118337171160944;15.118337171160944;15.118337171160944;15.118337171160944;15.118337171160944
1.617128908353137;1.617128908353137;13.61255959941103;13.61255959941103;13.61255959941103;13.61255959941103;0;0;17;13.61255959941103;13.61255959941103;13.61255959941103;13.61255959941103;13.61255959941103;13.61255959941103
1.4255895749617902;1.4255895749617902;12.182329610425244;12.182329610425244;12.182329610425244;12.182329610425244;0;0;17;12.182329610425244;12.182329610425244;12.182329610425244;12.182329610425244;12.182329610425244;12.182329610425244
1.2440176591177903;1.2440176591177903;10.826545165537711;10.826545165537711;10.826545165537711;10.826545165537711;0;0;17;10.826545165537711;10.826545165537711;10.826545165537711;10.826545165537711;10.826545165537711;10.826545165537711
1.0722656271096291;1.0722656271096291;9.544104226082553;9.544104226082553;9.544104226082553;9.544104226082553;0;0;17;9.544104226082553;9.544104226082553;9.544104226082553;9.544104226082553;9.544104226082553;9.544104226082553
0.910185945225799;0.910185945225799;8.3339047533939;8.3339047533939;8.3339047533939;8.3339047533939;0;0;17;8.3339047533939;8.3339047533939;8.3339047533939;8.3339047533939;8.3339047533939;8.3339047533939
0.7576310797547886;0.7576310797547886;7.194844708805863;7.194844708805863;7.194844708805863;7.194844708805863;0;0;17;7.194844708805863;7.194844708805863;7.194844708805863;7.194844708805863;7.194844708805863;7.194844708805863
0.6450332813663058;0.6450332813663058;6.3705203125434195;6.3705203125434195;6.3705203125434195;6.3705203125434195;0;0;17;6.3705203125434195;6.3705203125434195;6.3705203125434195;6.3705203125434195;6.3705203125434195;6.3705203125434195
0.64;0.64;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;0;0;17;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666
0.64;0.64;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;0;0;17;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666
0.64;0.64;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;0;0;17;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666
0.64;0.64;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;0;0;17;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666;6.338666666666666
