time,val
1,0.5
2,0.515705379539064
3,0.531395259764657
4,0.547054156659257
5,0.562666616782152
6,0.578217232520115
7,0.593690657292862
8,0.609071620698271
9,0.624344943582427
10,0.639495553019615
11,0.654508497187474
12,0.669368960122646
13,0.684062276342339
14,0.69857394531739
15,0.712889645782536
16,0.726995249869773
17,0.740876837050858
18,0.754520707875186
19,0.767913397489498
20,0.781041688926065
21,0.793892626146237
22,0.806453526826488
23,0.818711994874345
24,0.830655932661826
25,0.842273552964344
26,0.853553390593274
27,0.864484313710706
28,0.87505553481523
29,0.885256621387895
30,0.895077506187845
31,0.904508497187474
32,0.913540287137281
33,0.922163962751008
34,0.930371013501972
35,0.938153340021932
36,0.945503262094184
37,0.95241352623301
38,0.95887731284199
39,0.964888242944126
40,0.970440384477113
41,0.975528258147577
42,0.980146842838471
43,0.984291580564316
44,0.987958380969374
45,0.991143625364344
46,0.993844170297569
47,0.996057350657239
48,0.99778098230154
49,0.999013364214136
50,0.999753280182866
51,1
52,0.999753280182866
53,0.999013364214136
54,0.99778098230154
55,0.996057350657239
56,0.993844170297569
57,0.991143625364344
58,0.987958380969374
59,0.984291580564316
60,0.980146842838471
61,0.975528258147577
62,0.970440384477113
63,0.964888242944126
64,0.958877312841991
65,0.95241352623301
66,0.945503262094184
67,0.938153340021932
68,0.930371013501972
69,0.922163962751007
70,0.913540287137281
71,0.904508497187474
72,0.895077506187845
73,0.885256621387895
74,0.87505553481523
75,0.864484313710706
76,0.853553390593274
77,0.842273552964344
78,0.830655932661826
79,0.818711994874345
80,0.806453526826488
81,0.793892626146237
82,0.781041688926065
83,0.767913397489498
84,0.754520707875186
85,0.740876837050858
86,0.726995249869773
87,0.712889645782536
88,0.69857394531739
89,0.684062276342339
90,0.669368960122646
91,0.654508497187474
92,0.639495553019615
93,0.624344943582427
94,0.609071620698271
95,0.593690657292862
96,0.578217232520115
97,0.562666616782152
98,0.547054156659257
99,0.531395259764657
100,0.515705379539064
101,0.5
102,0.484294620460936
103,0.468604740235343
104,0.452945843340743
105,0.437333383217848
106,0.421782767479885
107,0.406309342707138
108,0.390928379301729
109,0.375655056417572
110,0.360504446980385
111,0.345491502812526
112,0.330631039877354
113,0.315937723657661
114,0.30142605468261
115,0.287110354217464
116,0.273004750130227
117,0.259123162949142
118,0.245479292124815
119,0.232086602510502
120,0.218958311073935
121,0.206107373853763
122,0.193546473173512
123,0.181288005125655
124,0.169344067338174
125,0.157726447035656
126,0.146446609406726
127,0.135515686289294
128,0.12494446518477
129,0.114743378612105
130,0.104922493812155
131,0.095491502812526
132,0.086459712862719
133,0.077836037248992
134,0.069628986498028
135,0.061846659978068
136,0.054496737905816
137,0.04758647376699
138,0.041122687158009
139,0.035111757055875
140,0.029559615522887
141,0.024471741852423
142,0.019853157161529
143,0.015708419435685
144,0.012041619030626
145,0.008856374635656
146,0.006155829702431
147,0.003942649342761
148,0.00221901769846
149,0.000986635785864
150,0.000246719817134
151,0
152,0.000246719817134
153,0.000986635785864
154,0.00221901769846
155,0.003942649342761
156,0.006155829702431
157,0.008856374635656
158,0.012041619030626
159,0.015708419435685
160,0.019853157161528
161,0.024471741852423
162,0.029559615522887
163,0.035111757055874
164,0.041122687158009
165,0.04758647376699
166,0.054496737905816
167,0.061846659978068
168,0.069628986498028
169,0.077836037248993
170,0.086459712862719
171,0.095491502812526
172,0.104922493812155
173,0.114743378612105
174,0.12494446518477
175,0.135515686289294
176,0.146446609406726
177,0.157726447035656
178,0.169344067338174
179,0.181288005125655
180,0.193546473173512
181,0.206107373853763
182,0.218958311073934
183,0.232086602510502
184,0.245479292124814
185,0.259123162949142
186,0.273004750130226
187,0.287110354217463
188,0.30142605468261
189,0.315937723657661
190,0.330631039877354
191,0.345491502812526
192,0.360504446980386
193,0.375655056417572
194,0.390928379301729
195,0.406309342707138
196,0.421782767479884
197,0.437333383217848
198,0.452945843340743
199,0.468604740235343
200,0.484294620460936
201,0.5
