time,val
1,0.15
2,0.14
3,0.12
4,0.1
5,0.11
6,0.1
7,0.14
8,0.13
9,0.33
10,0.6
11,0.81
12,0.85
13,1
14,0.95
15,0.75
16,0.7
17,0.77
18,0.7
19,0.62
20,0.62
21,0.35
22,0.22
23,0.2
24,0.18
25,0.15
