time,val
1,0.33
2,0.37
3,0.52
4,0.53
5,0.54
6,0.65
7,0.8
8,0.9
9,0.98
10,1
11,0.97
12,0.93
13,0.98
14,0.8
15,0.72
16,0.5
17,0.5
18,0.42
19,0.33
20,0.31
21,0.23
22,0.24
23,0.26
24,0.24
25,0.25
