time,val
1,0.5
2,0.42
3,0.33
4,0.31
5,0.23
6,0.24
7,0.26
8,0.24
9,0.25
10,0.33
11,0.37
12,0.52
13,0.53
14,0.54
15,0.65
16,0.8
17,0.9
18,0.98
19,1
20,0.97
21,0.93
22,0.98
23,0.8
24,0.72
25,0.5
